Centre Code,Centre Name,DET Geographic Region,EQ Zone,Local Government Area,Centre Type,School Category,State Electorate,Collection Year,School Count
1423,Kumbia State School,Darling Downs South West,Rural,South Burnett (R),State School,Primary,Nanango,2012,1
3040,Kuraby Special School,Metropolitan,Metropolitan,Brisbane (C),Special School,Special,Stretton,2012,1
1462,Kuraby State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Stretton,2012,1
5689,Kuranda District State College,Far North Queensland,Rural,Tablelands (R),State School,Combined,Barron River,2012,1
1958,Kurwongbah State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Kallangur,2012,1
443,Labrador State School,South East,Metropolitan,Gold Coast (C),State School,Primary,Broadwater,2012,1
1676,Laidley District State School,Darling Downs South West,Rural,Lockyer Valley (R),State School,Primary,Lockyer,2012,1
2163,Laidley State High School,Darling Downs South West,Rural,Lockyer Valley (R),State High School,Secondary,Lockyer,2012,1
1009,Lake Clarendon State School,Darling Downs South West,Rural,Lockyer Valley (R),State School,Primary,Lockyer,2012,1
202,Lakeland State School,Far North Queensland,Remote,Cook (S),State School,Primary,Cook,2012,1
67,Lakes Creek State School,Central Queensland,Provincial City,Rockhampton (R),State School,Primary,Keppel,2012,1
349,Landsborough State School,North Coast,Rural,Sunshine Coast (R),State School,Primary,Caloundra,2012,1
583,Laura State School,Far North Queensland,Remote,Cook (S),State School,Primary,Cook,2012,1
329,Lawnton State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Pine Rivers,2012,1
1148,Leichhardt State School,Metropolitan,Metropolitan,Ipswich (C),State School,Primary,Ipswich West,2012,1
68,Leyburn State School,Darling Downs South West,Rural,Southern Downs (R),State School,Primary,Southern Downs,2012,1
980,Linville State School,Darling Downs South West,Rural,Somerset (R),State School,Primary,Nanango,2012,1
1119,Lochington State School,Central Queensland,Remote,Central Highlands (R),State School,Primary,Gregory,2012,1
505,Lockhart State School,Far North Queensland,Remote,Lockhart River (S),State School,Combined,Cook,2012,1
1061,Lockrose State School,Darling Downs South West,Rural,Lockyer Valley (R),State School,Primary,Lockyer,2012,1
2062,Lockyer District State High School,Darling Downs South West,Rural,Lockyer Valley (R),State High School,Secondary,Lockyer,2012,1
3001,Logan City Special School,South East,Metropolitan,Logan (C),Special School,Special,Woodridge,2012,1
69,Logan Reserve State School,South East,Metropolitan,Logan (C),State School,Primary,Logan,2012,1
123,Logan Village State School,South East,Metropolitan,Logan (C),State School,Primary,Logan,2012,1
70,Loganholme State School,South East,Metropolitan,Logan (C),State School,Primary,Waterford,2012,1
2153,Loganlea State High School,South East,Metropolitan,Logan (C),State High School,Secondary,Waterford,2012,1
3611,Longreach School of Distance Education,Central Queensland,Remote,Longreach (R),School of Distance Education,Combined,Gregory,2012,1
2112,Longreach State High School,Central Queensland,Remote,Longreach (R),State High School,Secondary,Gregory,2012,1
711,Longreach State School,Central Queensland,Remote,Longreach (R),State School,Primary,Gregory,2012,1
882,Lota State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Lytton,2012,1
1010,Lower Tully State School,Far North Queensland,Rural,Cassowary Coast (R),State School,Primary,Hinchinbrook,2012,1
1140,Lowmead State School,North Coast,Rural,Gladstone (R),State School,Primary,Burnett,2012,1
2160,Lowood State High School,Metropolitan,Rural,Somerset (R),State High School,Secondary,Ipswich West,2012,1
242,Lowood State School,Metropolitan,Rural,Somerset (R),State School,Primary,Ipswich West,2012,1
418,Lundavra State School,Darling Downs South West,Remote,Goondiwindi (R),State School,Primary,Southern Downs,2012,1
383,Ma Ma Creek State School,Darling Downs South West,Rural,Lockyer Valley (R),State School,Primary,Lockyer,2012,1
2161,Mabel Park State High School,South East,Metropolitan,Logan (C),State High School,Secondary,Woodridge,2012,1
356,Mabel Park State School,South East,Metropolitan,Logan (C),State School,Primary,Waterford,2012,1
2124,MacGregor State High School,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,Sunnybank,2012,1
192,MacGregor State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Sunnybank,2012,1
758,Machans Beach State School,Far North Queensland,Metropolitan,Cairns (R),State School,Primary,Barron River,2012,1
71,Mackay Central State School,Central Queensland,Provincial City,Mackay (R),State School,Primary,Mackay,2012,1
3082,Mackay District Special School,Central Queensland,Provincial City,Mackay (R),Special School,Special,Mackay,2012,1
2096,Mackay North State High School,Central Queensland,Provincial City,Mackay (R),State High School,Secondary,Mackay,2012,1
746,Mackay North State School,Central Queensland,Provincial City,Mackay (R),State School,Primary,Mackay,2012,1
2009,Mackay State High School,Central Queensland,Provincial City,Mackay (R),State High School,Secondary,Mackay,2012,1
501,Mackay West State School,Central Queensland,Provincial City,Mackay (R),State School,Primary,Mackay,2012,1
101,Mackenzie River State School,Central Queensland,Remote,Isaac (R),State School,Primary,Gregory,2012,1
324,Macknade State School,North Queensland,Rural,Hinchinbrook (S),State School,Primary,Hinchinbrook,2012,1
1959,MacLeay Island State School,South East,Rural,Redland (C),State School,Primary,Redlands,2012,1
1219,Magnetic Island State School,North Queensland,Rural,Townsville (C),State School,Primary,Townsville,2012,1
1214,Maidavale State School,North Queensland,Rural,Burdekin (S),State School,Primary,Burdekin,2012,1
2067,Malanda State High School,Far North Queensland,Rural,Tablelands (R),State High School,Secondary,Dalrymple,2012,1
1396,Malanda State School,Far North Queensland,Rural,Tablelands (R),State School,Primary,Dalrymple,2012,1
2177,Maleny State High School,North Coast,Rural,Sunshine Coast (R),State High School,Secondary,Glass House,2012,1
1390,Maleny State School,North Coast,Rural,Sunshine Coast (R),State School,Primary,Glass House,2012,1
7575,Mango Hill State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Murrumba,2012,1
1222,Manly State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Lytton,2012,1
264,Manly West State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Lytton,2012,1
2059,Mansfield State High School,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,Mansfield,2012,1
143,Mansfield State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Mansfield,2012,1
878,Mapleton State School,North Coast,Rural,Sunshine Coast (R),State School,Primary,Nicklin,2012,1
320,Marburg State School,Metropolitan,Rural,Ipswich (C),State School,Primary,Ipswich West,2012,1
2058,Mareeba State High School,Far North Queensland,Rural,Tablelands (R),State High School,Secondary,Cook,2012,1
653,Mareeba State School,Far North Queensland,Rural,Tablelands (R),State School,Primary,Cook,2012,1
518,Marian State School,Central Queensland,Rural,Mackay (R),State School,Primary,Mirani,2012,1
1584,Marlborough State School,Central Queensland,Remote,Rockhampton (R),State School,Primary,Mirani,2012,1
1122,Marmor State School,Central Queensland,Rural,Rockhampton (R),State School,Primary,Mirani,2012,1
2097,Maroochydore State High School,North Coast,Metropolitan,Sunshine Coast (R),State High School,Secondary,Maroochydore,2012,1
1711,Maroochydore State School,North Coast,Metropolitan,Sunshine Coast (R),State School,Primary,Maroochydore,2012,1
640,Maroon State School,South East,Rural,Scenic Rim (R),State School,Primary,Beaudesert,2012,1
1251,Maroondan State School,North Coast,Rural,Bundaberg (R),State School,Primary,Callide,2012,1
2176,Marsden State High School,South East,Metropolitan,Logan (C),State High School,Secondary,Waterford,2012,1
1875,Marsden State School,South East,Metropolitan,Logan (C),State School,Primary,Woodridge,2012,1
708,Marshall Road State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Greenslopes,2012,1
