Centre Code,Centre Name,DET Geographic Region,EQ Zone,Local Government Area,Centre Type,School Category,State Electorate,Collection Year,School Count
2034,Indooroopilly State High School,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,Indooroopilly,2009,1
585,Indooroopilly State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Indooroopilly,2009,1
2027,Ingham State High School,North Queensland,Rural,Hinchinbrook (S),State High School,Secondary,Hinchinbrook,2009,1
450,Ingham State School,North Queensland,Rural,Hinchinbrook (S),State School,Primary,Hinchinbrook,2009,1
661,Ingleside State School,South East,Metropolitan,Gold Coast (C),State School,Primary,Currumbin,2009,1
55,Inglewood State School,Darling Downs South West,Rural,Goondiwindi (R),State School,Combined,Southern Downs,2009,1
1723,Injune State School,Darling Downs South West,Remote,Maranoa (R),State School,Combined,Warrego,2009,1
1660,Innisfail East State School,Far North Queensland,Rural,Cassowary Coast (R),State School,Primary,Mulgrave,2009,1
243,Hopevale State School,Far North Queensland,Remote,Hope Vale (S),State School,Primary,Cook,2011,1
3046,Innisfail Inclusive Education Centre - A State Special School,Far North Queensland,Rural,Cassowary Coast (R),Special School,Special,Mulgrave,2008,1
527,Innisfail State School,Far North Queensland,Rural,Cassowary Coast (R),State School,Primary,Mulgrave,2009,1
59,Ipswich Central State School,Metropolitan,Metropolitan,Ipswich (C),State School,Primary,Ipswich,2009,1
575,Ipswich East State School,Metropolitan,Metropolitan,Ipswich (C),State School,Primary,Ipswich,2009,1
61,Ipswich North State School,Metropolitan,Metropolitan,Ipswich (C),State School,Primary,Ipswich West,2009,1
3018,Ipswich Special School,Metropolitan,Metropolitan,Ipswich (C),Special School,Special,Ipswich,2009,1
2069,Ipswich State High School,Metropolitan,Metropolitan,Ipswich (C),State High School,Secondary,Ipswich West,2009,1
3015,Ipswich West Special School,Metropolitan,Metropolitan,Ipswich (C),Special School,Special,Ipswich,2009,1
366,Ipswich West State School,Metropolitan,Metropolitan,Ipswich (C),State School,Primary,Ipswich,2009,1
108,Ironside State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Indooroopilly,2009,1
519,Irvinebank State School,Far North Queensland,Rural,Tablelands (R),State School,Primary,Dalrymple,2009,1
1721,Isabella State School,Far North Queensland,Metropolitan,Cairns (R),State School,Primary,Mulgrave,2009,1
2063,Isis District State High School,North Coast,Rural,Bundaberg (R),State High School,Secondary,Burnett,2009,1
63,Isisford State School,Central Queensland,Remote,Longreach (R),State School,Primary,Gregory,2009,1
455,Ithaca Creek State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Mount Coot-tha,2009,1
1659,Jambin State School,Central Queensland,Rural,Banana (S),State School,Primary,Callide,2009,1
276,Jamboree Heights State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Mount Ommaney,2009,1
2137,James Nash State High School,North Coast,Rural,Gympie (R),State High School,Secondary,Gympie,2009,1
537,Jandowae Prep-10 State School,Darling Downs South West,Rural,Western Downs (R),State School,Combined,Warrego,2009,1
798,Jarvisfield State School,North Queensland,Rural,Burdekin (S),State School,Primary,Burdekin,2009,1
206,Jericho State School,Central Queensland,Remote,Barcaldine (R),State School,Primary,Gregory,2009,1
604,Jimboomba State School,South East,Metropolitan,Logan (C),State School,Primary,Beaudesert,2009,1
1558,Jimbour State School,Darling Downs South West,Rural,Western Downs (R),State School,Primary,Warrego,2009,1
402,Jindalee State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Mount Ommaney,2009,1
180,Jinibara State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Kallangur,2009,1
64,Jondaryan State School,Darling Downs South West,Rural,Toowoomba (R),State School,Primary,Condamine,2009,1
649,Jones Hill State School,North Coast,Rural,Gympie (R),State School,Primary,Gympie,2009,1
1809,Julatten State School,Far North Queensland,Rural,Tablelands (R),State School,Primary,Cook,2009,1
1289,Julia Creek State School,North Queensland,Remote,McKinlay (S),State School,Primary,Mount Isa,2009,1
514,Junction Park State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,South Brisbane,2009,1
910,Jundah State School,Central Queensland,Remote,Barcoo (S),State School,Primary,Gregory,2009,1
1187,Kaimkillenbun State School,Darling Downs South West,Rural,Western Downs (R),State School,Primary,Condamine,2009,1
1279,Kairi State School,Far North Queensland,Rural,Tablelands (R),State School,Primary,Dalrymple,2009,1
1494,Kalamia State School,North Queensland,Rural,Burdekin (S),State School,Primary,Burdekin,2009,1
343,Kalbar State School,South East,Rural,Scenic Rim (R),State School,Primary,Beaudesert,2009,1
277,Kalkie State School,North Coast,Provincial City,Bundaberg (R),State School,Primary,Burnett,2009,1
605,Kallangur State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Kallangur,2009,1
914,Kandanga Creek State School,North Coast,Rural,Gympie (R),State School,Primary,Gympie,2009,1
1478,Kandanga State School,North Coast,Rural,Gympie (R),State School,Primary,Gympie,2009,1
1938,Karalee State School,Metropolitan,Metropolitan,Ipswich (C),State School,Primary,Ipswich West,2009,1
1145,Karara State School,Darling Downs South West,Rural,Southern Downs (R),State School,Primary,Southern Downs,2009,1
449,Karumba State School,North Queensland,Remote,Carpentaria (S),State School,Primary,Mount Isa,2009,1
5653,Kawana Waters State College,North Coast,Metropolitan,Sunshine Coast (R),State School,Combined,Kawana,2009,1
1987,Kawungan State School,North Coast,Provincial City,Fraser Coast (R),State School,Primary,Hervey Bay,2009,1
2039,Kedron State High School,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,Clayfield,2009,1
371,Kedron State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Clayfield,2009,1
2046,Keebra Park State High School,South East,Metropolitan,Gold Coast (C),State High School,Secondary,Southport,2009,1
1960,Kelso State School,North Queensland,Metropolitan,Townsville (C),State School,Primary,Thuringowa,2009,1
2409,Kelvin Grove State College,Metropolitan,Metropolitan,Brisbane (C),State School,Combined,Brisbane Central,2009,1
1309,Kenilworth State Community College,North Coast,Rural,Sunshine Coast (R),State School,Primary,Nicklin,2009,1
1143,Kenmore South State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Moggill,2009,1
2132,Kenmore State High School,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,Moggill,2009,1
923,Kenmore State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Moggill,2009,1
868,Kennedy State School,Far North Queensland,Rural,Cassowary Coast (R),State School,Primary,Hinchinbrook,2009,1
710,Kentville State School,Darling Downs South West,Rural,Lockyer Valley (R),State School,Primary,Lockyer,2009,1
2095,Kepnock State High School,North Coast,Provincial City,Bundaberg (R),State High School,Secondary,Bundaberg,2009,1
670,Keppel Sands State School,Central Queensland,Rural,Rockhampton (R),State School,Primary,Keppel,2009,1
1707,Kia-Ora State School,North Coast,Rural,Gympie (R),State School,Primary,Gympie,2009,1
2133,Kilcoy State High School,North Coast,Rural,Somerset (R),State High School,Secondary,Nanango,2009,1
679,Kilcoy State School,North Coast,Rural,Somerset (R),State School,Primary,Nanango,2009,1
787,Kilcummin State School,Central Queensland,Remote,Isaac (R),State School,Primary,Dalrymple,2009,1
168,Kilkivan State School,North Coast,Rural,Gympie (R),State School,Combined,Callide,2009,1
163,Killarney State School,Darling Downs South West,Rural,Southern Downs (R),State School,Combined,Southern Downs,2009,1
1937,Kimberley Park State School,South East,Metropolitan,Logan (C),State School,Primary,Springwood,2009,1
1534,Kin Kin State School,North Coast,Rural,Sunshine Coast (R),State School,Primary,Gympie,2009,1
1912,Kin Kora State School,Central Queensland,Provincial City,Gladstone (R),State School,Primary,Gladstone,2009,1
753,Kindon State School,Darling Downs South West,Rural,Goondiwindi (R),State School,Primary,Southern Downs,2009,1
2044,Kingaroy State High School,Darling Downs South West,Rural,South Burnett (R),State High School,Secondary,Nanango,2009,1
995,Kingaroy State School,Darling Downs South West,Rural,South Burnett (R),State School,Primary,Nanango,2009,1
1274,Kingsthorpe State School,Darling Downs South West,Provincial City,Toowoomba (R),State School,Primary,Condamine,2009,1
2139,Kingston College,South East,Metropolitan,Logan (C),State High School,Secondary,Woodridge,2009,1
1348,Kingston State School,South East,Metropolitan,Logan (C),State School,Primary,Woodridge,2009,1
415,Kioma State School,Darling Downs South West,Remote,Goondiwindi (R),State School,Primary,Southern Downs,2009,1
616,Kippa-Ring State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Redcliffe,2009,1
2146,Kirwan State High School,North Queensland,Metropolitan,Townsville (C),State High School,Secondary,Thuringowa,2009,1
1862,Kirwan State School,North Queensland,Metropolitan,Townsville (C),State School,Primary,Thuringowa,2009,1
1078,Kogan State School,Darling Downs South West,Rural,Western Downs (R),State School,Primary,Warrego,2009,1
279,Kolan South State School,North Coast,Rural,Bundaberg (R),State School,Primary,Burnett,2009,1
1780,Koumala State School,Central Queensland,Rural,Mackay (R),State School,Primary,Mirani,2009,1
460,Kowanyama State School,Far North Queensland,Remote,Kowanyama (S),State School,Combined,Cook,2009,1
1878,Kruger State School,Metropolitan,Metropolitan,Ipswich (C),State School,Primary,Bundamba,2009,1
1472,Kulpi State School,Darling Downs South West,Rural,Toowoomba (R),State School,Primary,Nanango,2009,1
1968,Kuluin State School,North Coast,Metropolitan,Sunshine Coast (R),State School,Primary,Buderim,2009,1
1423,Kumbia State School,Darling Downs South West,Rural,South Burnett (R),State School,Primary,Nanango,2009,1
3040,Kuraby Special School,Metropolitan,Metropolitan,Brisbane (C),Special School,Special,Stretton,2009,1
1462,Kuraby State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Stretton,2009,1
5689,Kuranda District State College,Far North Queensland,Rural,Tablelands (R),State School,Combined,Barron River,2009,1
1958,Kurwongbah State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Kallangur,2009,1
443,Labrador State School,South East,Metropolitan,Gold Coast (C),State School,Primary,Broadwater,2009,1
1676,Laidley District State School,Darling Downs South West,Rural,Lockyer Valley (R),State School,Primary,Lockyer,2009,1
2163,Laidley State High School,Darling Downs South West,Rural,Lockyer Valley (R),State High School,Secondary,Lockyer,2009,1
1009,Lake Clarendon State School,Darling Downs South West,Rural,Lockyer Valley (R),State School,Primary,Lockyer,2009,1
202,Lakeland State School,Far North Queensland,Remote,Cook (S),State School,Primary,Cook,2009,1
67,Lakes Creek State School,Central Queensland,Provincial City,Rockhampton (R),State School,Primary,Keppel,2009,1
349,Landsborough State School,North Coast,Rural,Sunshine Coast (R),State School,Primary,Caloundra,2009,1
583,Laura State School,Far North Queensland,Remote,Cook (S),State School,Primary,Cook,2009,1
329,Lawnton State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Pine Rivers,2009,1
1148,Leichhardt State School,Metropolitan,Metropolitan,Ipswich (C),State School,Primary,Ipswich West,2009,1
68,Leyburn State School,Darling Downs South West,Rural,Southern Downs (R),State School,Primary,Southern Downs,2009,1
1682,Lindum State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Lytton,2009,1
980,Linville State School,Darling Downs South West,Rural,Somerset (R),State School,Primary,Nanango,2009,1
1119,Lochington State School,Central Queensland,Remote,Central Highlands (R),State School,Primary,Gregory,2009,1
505,Lockhart State School,Far North Queensland,Remote,Lockhart River (S),State School,Combined,Cook,2009,1
1061,Lockrose State School,Darling Downs South West,Rural,Lockyer Valley (R),State School,Primary,Lockyer,2009,1
2062,Lockyer District State High School,Darling Downs South West,Rural,Lockyer Valley (R),State High School,Secondary,Lockyer,2009,1
3001,Logan City Special School,South East,Metropolitan,Logan (C),Special School,Special,Woodridge,2009,1
69,Logan Reserve State School,South East,Metropolitan,Logan (C),State School,Primary,Logan,2009,1
123,Logan Village State School,South East,Metropolitan,Logan (C),State School,Primary,Logan,2009,1
70,Loganholme State School,South East,Metropolitan,Logan (C),State School,Primary,Waterford,2009,1
2153,Loganlea State High School,South East,Metropolitan,Logan (C),State High School,Secondary,Waterford,2009,1
3611,Longreach School of Distance Education,Central Queensland,Remote,Longreach (R),School of Distance Education,Combined,Gregory,2009,1
2112,Longreach State High School,Central Queensland,Remote,Longreach (R),State High School,Secondary,Gregory,2009,1
711,Longreach State School,Central Queensland,Remote,Longreach (R),State School,Primary,Gregory,2009,1
882,Lota State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Lytton,2009,1
1010,Lower Tully State School,Far North Queensland,Rural,Cassowary Coast (R),State School,Primary,Hinchinbrook,2009,1
1140,Lowmead State School,North Coast,Rural,Gladstone (R),State School,Primary,Burnett,2009,1
2160,Lowood State High School,Metropolitan,Rural,Somerset (R),State High School,Secondary,Ipswich West,2009,1
242,Lowood State School,Metropolitan,Rural,Somerset (R),State School,Primary,Ipswich West,2009,1
418,Lundavra State School,Darling Downs South West,Remote,Goondiwindi (R),State School,Primary,Southern Downs,2009,1
383,Ma Ma Creek State School,Darling Downs South West,Rural,Lockyer Valley (R),State School,Primary,Lockyer,2009,1
2161,Mabel Park State High School,South East,Metropolitan,Logan (C),State High School,Secondary,Woodridge,2009,1
356,Mabel Park State School,South East,Metropolitan,Logan (C),State School,Primary,Waterford,2009,1
2124,MacGregor State High School,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,Sunnybank,2009,1
192,MacGregor State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Sunnybank,2009,1
758,Machans Beach State School,Far North Queensland,Metropolitan,Cairns (R),State School,Primary,Barron River,2009,1
71,Mackay Central State School,Central Queensland,Provincial City,Mackay (R),State School,Primary,Mackay,2009,1
3082,Mackay District Special School,Central Queensland,Provincial City,Mackay (R),Special School,Special,Mackay,2009,1
2096,Mackay North State High School,Central Queensland,Provincial City,Mackay (R),State High School,Secondary,Mackay,2009,1
746,Mackay North State School,Central Queensland,Provincial City,Mackay (R),State School,Primary,Mackay,2009,1
2009,Mackay State High School,Central Queensland,Provincial City,Mackay (R),State High School,Secondary,Mackay,2009,1
501,Mackay West State School,Central Queensland,Provincial City,Mackay (R),State School,Primary,Mackay,2009,1
101,Mackenzie River State School,Central Queensland,Remote,Isaac (R),State School,Primary,Gregory,2009,1
324,Macknade State School,North Queensland,Rural,Hinchinbrook (S),State School,Primary,Hinchinbrook,2009,1
1959,MacLeay Island State School,South East,Rural,Redland (C),State School,Primary,Redlands,2009,1
1219,Magnetic Island State School,North Queensland,Rural,Townsville (C),State School,Primary,Townsville,2009,1
1214,Maidavale State School,North Queensland,Rural,Burdekin (S),State School,Primary,Burdekin,2009,1
2067,Malanda State High School,Far North Queensland,Rural,Tablelands (R),State High School,Secondary,Dalrymple,2009,1
1396,Malanda State School,Far North Queensland,Rural,Tablelands (R),State School,Primary,Dalrymple,2009,1
2177,Maleny State High School,North Coast,Rural,Sunshine Coast (R),State High School,Secondary,Glass House,2009,1
1390,Maleny State School,North Coast,Rural,Sunshine Coast (R),State School,Primary,Glass House,2009,1
1222,Manly State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Lytton,2009,1
264,Manly West State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Lytton,2009,1
2059,Mansfield State High School,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,Mansfield,2009,1
143,Mansfield State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Mansfield,2009,1
878,Mapleton State School,North Coast,Rural,Sunshine Coast (R),State School,Primary,Nicklin,2009,1
320,Marburg State School,Metropolitan,Rural,Ipswich (C),State School,Primary,Ipswich West,2009,1
2058,Mareeba State High School,Far North Queensland,Rural,Tablelands (R),State High School,Secondary,Cook,2009,1
653,Mareeba State School,Far North Queensland,Rural,Tablelands (R),State School,Primary,Cook,2009,1
518,Marian State School,Central Queensland,Rural,Mackay (R),State School,Primary,Mirani,2009,1
1584,Marlborough State School,Central Queensland,Remote,Rockhampton (R),State School,Primary,Mirani,2009,1
1122,Marmor State School,Central Queensland,Rural,Rockhampton (R),State School,Primary,Mirani,2009,1
2097,Maroochydore State High School,North Coast,Metropolitan,Sunshine Coast (R),State High School,Secondary,Maroochydore,2009,1
1711,Maroochydore State School,North Coast,Metropolitan,Sunshine Coast (R),State School,Primary,Maroochydore,2009,1
640,Maroon State School,South East,Rural,Scenic Rim (R),State School,Primary,Beaudesert,2009,1
1251,Maroondan State School,North Coast,Rural,Bundaberg (R),State School,Primary,Callide,2009,1
2176,Marsden State High School,South East,Metropolitan,Logan (C),State High School,Secondary,Waterford,2009,1
1875,Marsden State School,South East,Metropolitan,Logan (C),State School,Primary,Woodridge,2009,1
708,Marshall Road State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Greenslopes,2009,1
465,Mary Valley State College,North Coast,Rural,Gympie (R),State School,Combined,Gympie,2009,1
72,Maryborough Central State School,North Coast,Rural,Fraser Coast (R),State School,Primary,Maryborough,2009,1
3017,Maryborough Special School,North Coast,Rural,Fraser Coast (R),Special School,Special,Maryborough,2009,1
2020,Maryborough State High School,North Coast,Rural,Fraser Coast (R),State High School,Secondary,Maryborough,2009,1
485,Maryborough West State School,North Coast,Rural,Fraser Coast (R),State School,Primary,Maryborough,2009,1
1389,Maryvale State School,Darling Downs South West,Rural,Southern Downs (R),State School,Primary,Southern Downs,2009,1
3102,Mater Hospital Special School,Metropolitan,Metropolitan,Brisbane (C),Special School,Special,South Brisbane,2009,1
1090,Mayfield State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Chatsworth,2009,1
1400,McDonnell Creek State School,Far North Queensland,Rural,Cairns (R),State School,Primary,Mulgrave,2009,1
378,McDowall State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Everton,2009,1
1394,McIlwraith State School,North Coast,Rural,Bundaberg (R),State School,Primary,Callide,2009,1
1473,Meandarra State School,Darling Downs South West,Remote,Western Downs (R),State School,Primary,Warrego,2009,1
1673,Mena Creek State School,Far North Queensland,Rural,Cassowary Coast (R),State School,Primary,Hinchinbrook,2009,1
1733,Meridan State College,North Coast,Metropolitan,Sunshine Coast (R),State School,Combined,Kawana,2009,1
806,Merinda State School,North Queensland,Rural,Whitsunday (R),State School,Primary,Burdekin,2009,1
179,Meringandan State School,Darling Downs South West,Provincial City,Toowoomba (R),State School,Primary,Nanango,2009,1
2147,Merrimac State High School,South East,Metropolitan,Gold Coast (C),State High School,Secondary,Mermaid Beach,2009,1
1586,Merrimac State School,South East,Metropolitan,Gold Coast (C),State School,Primary,Mudgeeraba,2009,1
1291,Miallo State School,Far North Queensland,Rural,Cairns (R),State School,Primary,Cook,2009,1
2086,Miami State High School,South East,Metropolitan,Gold Coast (C),State High School,Secondary,Burleigh,2009,1
1890,Miami State School,South East,Metropolitan,Gold Coast (C),State School,Primary,Burleigh,2009,1
1969,Middle Park State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Mount Ommaney,2009,1
414,Middle Ridge State School,Darling Downs South West,Provincial City,Toowoomba (R),State School,Primary,Toowoomba South,2009,1
1905,Middlemount Community School,Central Queensland,Remote,Isaac (R),State School,Combined,Mirani,2009,1
2144,Miles State High School,Darling Downs South West,Rural,Western Downs (R),State High School,Secondary,Warrego,2009,1
341,Miles State School,Darling Downs South West,Rural,Western Downs (R),State School,Primary,Warrego,2009,1
771,Millaa Millaa State School,Far North Queensland,Rural,Tablelands (R),State School,Primary,Dalrymple,2009,1
867,Millaroo State School,North Queensland,Remote,Burdekin (S),State School,Primary,Burdekin,2009,1
157,Millchester State School,North Queensland,Rural,Charters Towers (R),State School,Primary,Dalrymple,2009,1
176,Millmerran State School,Darling Downs South West,Rural,Toowoomba (R),State School,Combined,Southern Downs,2009,1
1120,Milman State School,Central Queensland,Rural,Rockhampton (R),State School,Primary,Mirani,2009,1
2024,Milpera State High School,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,Indooroopilly,2009,1
551,Milton State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Mount Coot-tha,2009,1
294,Minden State School,Metropolitan,Rural,Somerset (R),State School,Primary,Ipswich West,2009,1
265,Minimbah State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Morayfield,2009,1
2117,Mirani State High School,Central Queensland,Rural,Mackay (R),State High School,Secondary,Mirani,2009,1
658,Mirani State School,Central Queensland,Rural,Mackay (R),State School,Primary,Mirani,2009,1
792,Miriam Vale State School,Central Queensland,Rural,Gladstone (R),State School,Combined,Burnett,2009,1
1382,Miriwinni State School,Far North Queensland,Rural,Cairns (R),State School,Primary,Mulgrave,2009,1
1324,Mission Beach State School,Far North Queensland,Rural,Cassowary Coast (R),State School,Primary,Hinchinbrook,2009,1
1919,Mistake Creek State School,Central Queensland,Remote,Isaac (R),State School,Primary,Gregory,2009,1
27,Mitchell State School,Darling Downs South West,Remote,Maranoa (R),State School,Combined,Warrego,2009,1
3005,Mitchelton Special School,Metropolitan,Metropolitan,Brisbane (C),Special School,Special,Everton,2009,1
2040,Mitchelton State High School,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,Ashgrove,2009,1
1538,Mitchelton State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Ashgrove,2009,1
701,Moffatdale State School,Darling Downs South West,Rural,South Burnett (R),State School,Primary,Callide,2009,1
73,Moggill State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Moggill,2009,1
417,Monkland State School,North Coast,Rural,Gympie (R),State School,Primary,Gympie,2009,1
1513,Monogorilby State School,Darling Downs South West,Remote,North Burnett (R),State School,Primary,Callide,2009,1
2098,Monto State High School,Central Queensland,Rural,North Burnett (R),State High School,Secondary,Callide,2009,1
1831,Monto State School,Central Queensland,Rural,North Burnett (R),State School,Primary,Callide,2009,1
776,Montville State School,North Coast,Rural,Sunshine Coast (R),State School,Primary,Glass House,2009,1
1818,Mooloolaba State School,North Coast,Metropolitan,Sunshine Coast (R),State School,Primary,Maroochydore,2009,1
309,Mooloolah State School,North Coast,Rural,Sunshine Coast (R),State School,Primary,Caloundra,2009,1
511,Moonie State School,Darling Downs South West,Rural,Western Downs (R),State School,Primary,Warrego,2009,1
1739,Moore Park State School,North Coast,Rural,Bundaberg (R),State School,Primary,Burnett,2009,1
1637,Moorooka State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Yeerongpilly,2009,1
1908,Moranbah East State School,Central Queensland,Rural,Isaac (R),State School,Primary,Dalrymple,2009,1
2135,Moranbah State High School,Central Queensland,Rural,Isaac (R),State High School,Secondary,Dalrymple,2009,1
896,Moranbah State School,Central Queensland,Rural,Isaac (R),State School,Primary,Dalrymple,2009,1
1985,Morayfield East State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Morayfield,2009,1
2154,Morayfield State High School,North Coast,Metropolitan,Moreton Bay (R),State High School,Secondary,Morayfield,2009,1
125,Morayfield State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Morayfield,2009,1
1474,Moresby State School,Far North Queensland,Rural,Cassowary Coast (R),State School,Primary,Hinchinbrook,2009,1
1753,Moreton Downs State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Murrumba,2009,1
1803,Morningside State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Bulimba,2009,1
291,Mornington Island State School,North Queensland,Remote,Mornington (S),State School,Combined,Mount Isa,2009,1
525,Morven State School,Darling Downs South West,Remote,Murweh (S),State School,Primary,Warrego,2009,1
2002,Mossman State High School,Far North Queensland,Rural,Cairns (R),State High School,Secondary,Cook,2009,1
167,Mossman State School,Far North Queensland,Rural,Cairns (R),State School,Primary,Cook,2009,1
381,Mount Alford State School,South East,Rural,Scenic Rim (R),State School,Primary,Beaudesert,2009,1
1914,Mount Archer State School,Central Queensland,Provincial City,Rockhampton (R),State School,Primary,Keppel,2009,1
214,Mount Charlton State School,Central Queensland,Rural,Mackay (R),State School,Primary,Whitsunday,2009,1
284,Mount Cotton State School,South East,Metropolitan,Redland (C),State School,Primary,Redlands,2009,1
267,Mount Crosby State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Moggill,2009,1
1975,Mount Fox State School,North Queensland,Rural,Hinchinbrook (S),State School,Primary,Hinchinbrook,2009,1
944,Mount Garnet State School,Far North Queensland,Remote,Tablelands (R),State School,Primary,Dalrymple,2009,1
660,Mount Gravatt East State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Mansfield,2009,1
3012,Mount Gravatt Special School,Metropolitan,Metropolitan,Brisbane (C),Special School,Special,Mansfield,2009,1
2056,Mount Gravatt State High School,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,Greenslopes,2009,1
198,Mount Gravatt State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Greenslopes,2009,1
1067,Mount Isa Central State School,North Queensland,Remote,Mount Isa (C),State School,Primary,Mount Isa,2009,1
3604,Mount Isa School of the Air,North Queensland,Remote,Mount Isa (C),School of Distance Education,Combined,Mount Isa,2009,1
3004,Mount Isa Special School,North Queensland,Remote,Mount Isa (C),Special School,Special,Mount Isa,2009,1
1166,Mount Kilcoy State School,North Coast,Rural,Somerset (R),State School,Primary,Nanango,2009,1
300,Mount Larcom State School,Central Queensland,Rural,Gladstone (R),State School,Combined,Gladstone,2009,1
1189,Mount Marrow State School,Metropolitan,Rural,Ipswich (C),State School,Primary,Ipswich West,2009,1
690,Mount Mee State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Glass House,2009,1
1109,Mount Molloy State School,Far North Queensland,Rural,Tablelands (R),State School,Primary,Cook,2009,1
526,Mount Morgan Central State School,Central Queensland,Rural,Rockhampton (R),State School,Primary,Mirani,2009,1
2010,Mount Morgan State High School,Central Queensland,Rural,Rockhampton (R),State High School,Secondary,Mirani,2009,1
1511,Mount Murchison State School,Central Queensland,Rural,Banana (S),State School,Primary,Callide,2009,1
737,Mount Nebo State School,Metropolitan,Metropolitan,Moreton Bay (R),State School,Primary,Ferny Grove,2009,1
3088,Mount Ommaney Special School,Metropolitan,Metropolitan,Brisbane (C),Special School,Special,Mount Ommaney,2009,1
75,Mount Perry State School,Central Queensland,Rural,North Burnett (R),State School,Primary,Callide,2009,1
608,Mount Petrie State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Mansfield,2009,1
377,Mount Samson State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Ferny Grove,2009,1
1531,Mount Surprise State School,Far North Queensland,Remote,Etheridge (S),State School,Primary,Mount Isa,2009,1
464,Mount Sylvia State School,Darling Downs South West,Rural,Lockyer Valley (R),State School,Primary,Lockyer,2009,1
1111,Mount Tarampa State School,Metropolitan,Rural,Somerset (R),State School,Primary,Nanango,2009,1
1037,Mount Tyson State School,Darling Downs South West,Rural,Toowoomba (R),State School,Primary,Condamine,2009,1
1906,Mount Warren Park State School,South East,Metropolitan,Logan (C),State School,Primary,Albert,2009,1
495,Mount Whitestone State School,Darling Downs South West,Rural,Lockyer Valley (R),State School,Primary,Lockyer,2009,1
2190,Mountain Creek State High School,North Coast,Metropolitan,Sunshine Coast (R),State High School,Secondary,Buderim,2009,1
1999,Mountain Creek State School,North Coast,Metropolitan,Sunshine Coast (R),State School,Primary,Buderim,2009,1
2136,Moura State High School,Central Queensland,Rural,Banana (S),State High School,Secondary,Callide,2009,1
932,Moura State School,Central Queensland,Rural,Banana (S),State School,Primary,Callide,2009,1
957,Mourilyan State School,Far North Queensland,Rural,Cassowary Coast (R),State School,Primary,Hinchinbrook,2009,1
159,Mudgeeraba Creek State School,South East,Metropolitan,Gold Coast (C),State School,Primary,Mudgeeraba,2009,1
3049,Mudgeeraba Special School,South East,Metropolitan,Gold Coast (C),Special School,Special,Mudgeeraba,2009,1
663,Mudgeeraba State School,South East,Metropolitan,Gold Coast (C),State School,Primary,Mudgeeraba,2009,1
1418,Mulgildie State School,Central Queensland,Rural,North Burnett (R),State School,Primary,Callide,2009,1
436,Mundingburra State School,North Queensland,Metropolitan,Townsville (C),State School,Primary,Mundingburra,2009,1
